t,ref,dist,PID_y,PID_u,Fuzzy_y,Fuzzy_u,DL_y,DL_u,QL_y,QL_u
101,0.6,1,0.5734694449414859,0.8971496034559637,0.46346324198665073,0.7361492709862273,0.559161250919677,0.8554017578105746,0.6011542759340849,0.85
102,0.6,1,0.5754011526692849,0.8976157915389739,0.46134878022402176,0.7370324699537883,0.558965194971064,0.856710551562014,0.5970619338593581,0.85
103,0.6,1,0.5772071055466368,0.8979755636361831,0.4594646718836964,0.737797425969955,0.5588769387709718,0.8578619924699098,0.6052969791506094,1.0
104,0.6,1,0.5788911099970208,0.8982571611764375,0.4577882167613978,0.7385089828549644,0.5588727581685947,0.8588246812412585,0.6008732208185608,0.85
105,0.6,1,0.5804582980082893,0.8984809601378784,0.45629761458841545,0.7391556895991187,0.5589291865156817,0.8595781125071824,0.5968033631530758,0.85
106,0.6,1,0.5819145694902512,0.8986616915328135,0.4549733669868811,0.7397445195692367,0.5590238270793723,0.8601121935618143,0.6050590941008297,1.0
107,0.6,1,0.583266206549574,0.8988100327317856,0.4537977618537308,0.7402783028225015,0.5591359818939079,0.8604257622610668,0.6006543665727633,0.85
108,0.6,1,0.5845196098712128,0.8989337480700585,0.4527548215606628,0.7407610081903815,0.5592470792695065,0.8605246990888897,0.5966020172469422,0.85
109,0.6,1,0.585681121606021,0.899038506556315,0.45183014500585694,0.7411963646255894,0.5593409158349493,0.8604200363375419,0.6048738558671868,1.0
110,0.6,1,0.5867569093369434,0.8991284682425486,0.45101078229047026,0.7415881110635235,0.5594037446584784,0.8601262761290638,0.6004839473978119,0.85
111,0.6,0,0.6117528929772631,0.8992067048409389,0.47428510896728554,0.7419398657506615,0.5691313041443896,0.6809982382323674,0.600445231605987,0.6
112,0.6,0,0.6251547016646164,0.7792755015691795,0.49304411362312733,0.7087726671653073,0.5776247106454225,0.675298885407301,0.6004096130775081,0.6
113,0.6,0,0.6338412514418114,0.7337365738795538,0.5101090657569292,0.7063560152956501,0.5840365077908559,0.6577721749633397,0.6003768440313075,0.6
114,0.6,0,0.6388266891809903,0.6961592231815473,0.5259218599637918,0.7077689933427124,0.588676913946621,0.6420415847379194,0.600346696508803,0.6
115,0.6,0,0.6413018507529354,0.6697662088303044,0.5405404749353807,0.7086545471086534,0.5919689723538929,0.6298276440375182,0.6003189607880989,0.6
116,0.6,0,0.6420559292491375,0.6507278319554604,0.5507736323367176,0.6684549424520918,0.5942800691609482,0.6208576824420838,0.600293443925051,0.6
117,0.6,0,0.6416548185748476,0.6370420458205148,0.5592120402748201,0.6562537315629994,0.5958935151706813,0.614448144282612,0.600269968411047,0.6
118,0.6,0,0.6404972250019338,0.6271848989134248,0.5662069748464117,0.6466487224197153,0.5970166271510783,0.609932414925643,0.6002483709381633,0.6
119,0.6,0,0.6388634718442792,0.6200753105312495,0.5720016110125451,0.6386399269230794,0.5977972588396399,0.6067745232580979,0.6002285012631103,0.6
120,0.6,0,0.6369493793164193,0.614937315246029,0.5768023566258434,0.6320109311787738,0.5983394860399847,0.6045750988439497,0.6002102211620616,0.6
121,0.6,0,0.634890627625057,0.61121498317439,0.5807797412079309,0.6265196639019348,0.5987160685621283,0.6030467675667799,0.6001934034690967,0.6
122,0.6,0,0.6327801642397257,0.6085098353084157,0.584075036209785,0.6219709287311072,0.5989776845490672,0.601986268398864,0.600177931191569,0.6
123,0.6,0,0.6306806480810431,0.6065362122561927,0.5868052562087108,0.6182027861963576,0.599159558396796,0.6012511076456774,0.6001636966962436,0.6
